id,category,subcategory,question,answer,keywords,audience,source_url,source_type,as_of,volatility,confidence,notes
kb-015,general,governance,Who governs SCASPA's operations?,"SCASPA is governed by a Board of Directors appointed by the Government of St. Kitts and Nevis, working alongside the executive management team.",board|board of directors|governance|who governs|chairman|directors,all,internal:scaspaexcel.xlsx#row-12,client-interview,2026-07-31,medium,probable,"Board structure is standard for a statutory authority and consistent with press coverage naming a Chairman. Current board membership NOT verified - do not name individuals. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-016,general,hours,What are SCASPA's opening hours?,"Seaport offices are open Monday to Friday, 8:00 am to 4:00 pm. The airport operates daily from 6:00 am to 9:00 pm.",opening hours|office hours|what time open|closing time|business hours,all,https://www.scaspa.com/contact.html,official-site,2026-07-31,medium,confirmed,"AMBIGUITY TRAP: 'what time do you open' must be disambiguated between seaport and airport. Ask which, or give both."
kb-017,general,hours,Does SCASPA operate 24 hours a day?,"Administrative offices keep standard weekday hours, but operational units including airport operations, air traffic control, seaport security and marine pilots work extended or round-the-clock schedules depending on vessel and flight activity.",24/7|round the clock|always open|night|overnight|operating hours,all,internal:scaspaexcel.xlsx#row-14,client-interview,2026-07-31,low,probable,"Consistent with the berthing PDF showing pilots on call. Specific shift patterns not published. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-018,general,legal,Where can I find the legislation governing SCASPA?,SCASPA publishes the Port Act in the Information section of its website. This is the primary legislation governing the Authority's powers and operations.,port act|law|legislation|legal|statute|regulations|act,business,https://www.scaspa.com/port-act.html,official-site,2026-07-31,low,confirmed,Page confirmed in navigation; text of the Act not inspected.
kb-019,general,lost,How does SCASPA handle lost and found items?,"Items found in common port or airport areas are handed to SCASPA Security or airport customer service. Items left on board an aircraft or cruise ship must be claimed through the airline or cruise line, not SCASPA.",lost|found|lost property|missing item|left behind|lost and found,traveller,internal:scaspaexcel.xlsx#row-26,client-interview,2026-07-31,low,probable,"Split of responsibility between SCASPA and carriers is the key point and is sound; specific desk locations unverified. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-020,general,policy,Is smoking permitted at SCASPA facilities?,"Smoking is prohibited inside terminal buildings, cargo facilities and restricted apron and dock areas. Designated exterior smoking zones are marked at the airport.",smoking|smoke|cigarette|vape|designated area|no smoking,traveller,internal:scaspaexcel.xlsx#row-22,client-interview,2026-07-31,low,probable,"Standard terminal policy, very likely accurate, but not published on scaspa.com. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-021,general,policy,Is photography or filming allowed at SCASPA facilities?,"Photography and filming are prohibited in security screening areas, immigration halls and restricted tarmac or dock areas without prior written permission. General photography in public areas is normally acceptable.",photography|filming|camera|photos|video|drone footage|recording,traveller,internal:scaspaexcel.xlsx#row-25,client-interview,2026-07-31,low,probable,"Standard security policy; permission process not published. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-022,general,procurement,Does SCASPA advertise tenders or procurement opportunities?,"SCASPA has a Procurement Manager and, according to client-supplied guidance, publishes public tenders and procurement notices on its website and in national newspapers. Confirm current notices directly with SCASPA Procurement.",tender|procurement|bid|rfp|supplier|contract|opportunities,business,internal:scaspaexcel.xlsx#row-21,client-interview,2026-07-31,medium,probable,"Procurement Manager role confirmed on the Management Team page; the publication channels are workbook-supplied. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-023,general,publications,Where can I find SCASPA press releases and announcements?,"Official news and press releases are published on the SCASPA website under Press Releases, within the Official Statements section, and shared on its social media channels.",press release|news|announcements|updates|statements|media,all,https://www.scaspa.com/press-releases.html,official-site,2026-07-31,medium,confirmed,Press Releases page confirmed present in site navigation.
kb-024,general,refunds,What is SCASPA's refund policy?,SCASPA publishes a Refunds and Cancellation Policy document on its website. Client-supplied guidance indicates refund requests should be made in writing to the Finance Department with supporting receipts.,refund|cancellation|money back|reimbursement|policy,business,https://www.scaspa.com/uploads/9/5/2/1/95213570/refund_policy_scaspa.pdf,official-site,2026-07-31,medium,probable,Policy PDF confirmed to exist in site footer but its contents were not read. Procedure detail is workbook-supplied.
kb-025,general,reports,Does SCASPA publish annual financial reports?,SCASPA maintains an Audited Financial Statements page within the Information section of its website. Availability of specific years should be checked on that page.,annual report|financial statements|accounts|audited|reports|finances,business,https://www.scaspa.com/audited-financial-statements.html,official-site,2026-07-31,medium,confirmed,Page confirmed in site navigation; contents of individual statements not inspected.
kb-026,general,scope,"Can SCASPA help with hotel, tour or visa enquiries?","No. SCASPA operates the airport and seaports; it does not arrange accommodation or tours, or handle immigration and visa matters. For tourism enquiries contact the St. Kitts Tourism Authority, and for entry requirements contact national immigration.",hotel|tour|visa|accommodation|booking|holiday|what can you help with,traveller,https://www.scaspa.com/world-class-air-and-sea-gateways.html,official-site,2024-05-09,low,confirmed,"EXPLICIT OUT-OF-SCOPE ROW. Gives the assistant a clean, non-apologetic way to decline and redirect."
kb-027,general,security,How do I report a security concern at a SCASPA facility?,"Report security concerns directly to the SCASPA Port Security officers on duty at any facility, or call SCASPA on (869) 465-8121. In an emergency, call 911 first.",report security|security concern|suspicious|incident|report problem|threat,all,internal:scaspaexcel.xlsx#row-15,client-interview,2026-07-31,low,probable,"Switchboard number is verified; the routing advice is reasonable practice. Emergency 911 added by us - see kb-042. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-028,general,vendors,How can suppliers register as approved SCASPA vendors?,"Suppliers are advised to submit company credentials including a business licence, tax identification number and details of products or services to SCASPA Procurement. Confirm the current requirements with SCASPA before submitting.",vendor|supplier|register|approved supplier|procurement registration,business,internal:scaspaexcel.xlsx#row-197,client-interview,2026-07-31,medium,probable,"Workbook-supplied requirement list; not published by SCASPA. Treat as indicative. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-029,general,visits,How do I request a tour of SCASPA facilities for a school or organisation?,"Formal written requests for educational or institutional tours should be addressed to the Chief Executive Officer or the communications function, by email to info@scaspa.com. Tours are limited to approved groups and require pre-approval.",tour|school visit|site visit|educational|group visit|field trip,all,internal:scaspaexcel.xlsx#row-19,client-interview,2026-07-31,low,probable,"Email address verified; the approval process is workbook-supplied and plausible but unconfirmed. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-030,airport,accessibility,Is wheelchair assistance available at the airport?,Wheelchair assistance is normally arranged by airline ground handlers rather than by SCASPA. Request assistance in advance directly through your airline.,wheelchair|disabled|accessibility|mobility|assistance|special needs|handicap,traveller,internal:scaspaexcel.xlsx#row-47,client-interview,2026-07-31,low,probable,"The airline-responsibility split is the important and reliable part of this answer. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-031,airport,accessibility,Is the airport terminal accessible for passengers with disabilities?,"Client-supplied guidance describes step-free access, ramps, accessible restrooms and dedicated drop-off areas. SCASPA does not publish an accessibility statement, so passengers with specific needs should contact their airline and SCASPA in advance.",accessible|step free|ramp|accessible toilet|disability access|mobility,traveller,internal:scaspaexcel.xlsx#row-48,client-interview,2026-07-31,low,unverified,"ACCESSIBILITY ROW - a wrong answer here strands someone. Deliberately hedged and routes to advance contact. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-032,airport,airlines,Which airlines fly to St. Kitts?,"Around eleven carriers serve the airport. They include American Airlines, Delta Air Lines, United Airlines, JetBlue, Cape Air, Caribbean Airlines, InterCaribbean and Sunrise Airways, alongside other regional operators.",airlines|carriers|which airlines|who flies|american|jetblue|delta|united|british airways|air canada|winair,traveller,https://www.scaspa.com/world-class-air-and-sea-gateways.html,official-site,2024-05-09,high,probable,"Route networks change every season. Present as indicative, never as a complete current list; direct the user to the airline for booking. Merged duplicate phrasing from a second source row."
kb-033,airport,airlines,Which cities have direct flights to St. Kitts?,"Direct services have operated from hubs including Miami, Charlotte, Atlanta, New York, Toronto, London Gatwick, San Juan and several Caribbean points, some seasonally. Route maps change frequently, so confirm with the airline.",direct flights|nonstop|hubs|from miami|from london|from new york|routes,traveller,internal:scaspaexcel.xlsx#row-31,client-interview,2026-07-31,high,unverified,"Seasonal and volatile. Workbook-supplied and unverified. Route to airlines. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-034,airport,arrival,Where do arriving passengers clear immigration and customs?,"Arriving passengers proceed from the aircraft into the arrivals hall for immigration processing and baggage claim, followed by customs inspection. Immigration and Customs are separate government agencies, not SCASPA.",immigration|customs|arrivals|clear|border|passport control|entry,traveller,internal:scaspaexcel.xlsx#row-45,client-interview,2026-07-31,low,probable,"SCOPE NOTE added by us: border processing is not SCASPA's function. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-035,airport,arrival,Can I meet arriving passengers inside the customs hall?,No. Greeters must wait in the public arrivals area outside the terminal; the customs and immigration halls are restricted border-control areas.,meet|greet|waiting|pick up someone|arrivals hall|welcome|inside,traveller,internal:scaspaexcel.xlsx#row-52,client-interview,2026-07-31,low,probable,"Standard border-control practice. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-036,airport,aviation,Can private jets and charters use the airport?,"Yes. The airport provides facilities for cargo and private aviation, and fixed-base operator services are available for private and corporate charter traffic.",private jet|charter|fbo|corporate|general aviation|business jet,business,https://www.scaspa.com/airport-about.html,official-site,2026-07-31,low,confirmed,SCASPA's About page confirms cargo and private jet facilities. FBO branding is corroborated by external listings.
kb-037,airport,aviation,Who provides air traffic control at the airport?,"SCASPA operates air traffic control at RLB International Airport, and its management structure includes a Senior Air Traffic Control Officer. Aviation operators should use published aeronautical frequencies rather than relying on this service for operational contact.",atc|air traffic control|tower|controller|frequency|aviation contact,business,https://www.scaspa.com/airport-about.html,official-site,2026-07-31,low,confirmed,Senior ATC Officer role confirmed on airport-about page. Deliberately does NOT publish frequencies - pilots must use AIP.
kb-038,airport,aviation,Does the airport have fire and rescue services?,"Client-supplied guidance states SCASPA operates an Airport Rescue and Fire Fighting service. SCASPA's published management structure includes security and maintenance functions, but ARFF is not separately described on its website.",arff|fire|rescue|emergency services|fire fighting|crash,business,internal:scaspaexcel.xlsx#row-204,client-interview,2026-07-31,low,probable,"ARFF is an ICAO requirement for an international airport, so almost certainly present, but not published by SCASPA. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-039,airport,aviation,What is the Civil Aviation Division?,"The Civil Aviation Division regulates civil aviation safety and standards in St. Kitts and Nevis. It is a separate regulator from SCASPA, which operates the airport.",cad|civil aviation|regulator|authority|aviation safety|who regulates,business,internal:scaspaexcel.xlsx#row-105,client-interview,2026-07-31,low,probable,"SCOPE ROW - distinguishes the regulator from the operator. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-040,airport,baggage,What do I do if my baggage is lost or damaged?,"Report missing or damaged baggage to your airline's baggage service counter in the arrivals baggage hall before clearing customs. Baggage handling and compensation are the airline's responsibility, not SCASPA's.",lost baggage|damaged|missing bag|delayed baggage|claim|luggage lost,traveller,internal:scaspaexcel.xlsx#row-53,client-interview,2026-07-31,low,probable,"Airline-responsibility split is the reliable core of this answer. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-041,airport,cargo,Does the airport handle air cargo?,"Yes. SCASPA states the airport provides facilities for cargo as well as private jets. Client-supplied guidance names regional operators such as Amerijet, FedEx and DHL, though carrier presence should be confirmed directly.",air cargo|freight|amerijet|fedex|dhl|cargo flights|air freight,cargo,https://www.scaspa.com/airport-about.html,official-site,2026-07-31,medium,probable,Cargo facilities confirmed by SCASPA; specific carriers are workbook-supplied and unverified.
kb-042,airport,checkin,How early should I arrive at the airport?,"SCASPA does not publish a recommended check-in time. Check-in and bag-drop cut-offs are set by each airline, so follow the guidance on your ticket or the airline's website.",how early|check in time|arrive before flight|cut off|before departure,traveller,https://www.scaspa.com/airport.html,official-site,2026-07-31,low,confirmed,Deliberately gives no number. A plausible-sounding 'two to three hours' would be fabrication; the honest answer is that the airline sets it.
kb-043,airport,checkin,How early should I arrive at the airport before my flight?,"Client-supplied guidance suggests three hours before an international departure and two hours for regional Caribbean flights, but SCASPA does not publish an official figure. Your airline's stated check-in deadline is authoritative - follow that.",how early|arrive|check in time|before flight|advance|when to arrive,traveller,internal:scaspaexcel.xlsx#row-32,client-interview,2026-07-31,medium,unverified,"Deliberately hedged. No SCASPA-published figure exists; airline guidance governs. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-044,airport,checkin,When do check-in counters close?,"Client-supplied guidance indicates counters close 60 minutes before an international departure, but this is set by each airline rather than SCASPA. Confirm with your carrier.",check in close|counter close|cut off|deadline|too late|closing,traveller,internal:scaspaexcel.xlsx#row-106,client-interview,2026-07-31,medium,unverified,"Airline-set, not SCASPA-set. Do not state as port policy. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-045,airport,codes,What is the airport code for St. Kitts?,Robert L. Bradshaw International Airport uses the IATA code SKB and the ICAO code TKPK.,iata|icao|airport code|skb|tkpk|code,traveller,https://en.wikipedia.org/wiki/Robert_L._Bradshaw_International_Airport,reference,2026-07-31,low,confirmed,Codes cross-checked across several independent aviation references. Not stated on scaspa.com.
kb-046,airport,customs,What must I declare to Customs when arriving?,"Customs requires declaration of commercial goods, agricultural products, plants and animals, fresh food and meat, firearms, and currency above the reporting threshold. Customs and Excise sets these rules, not SCASPA - check with them for current thresholds.",declare|declaration|customs|bring in|import|goods|cash limit,traveller,internal:scaspaexcel.xlsx#row-94,regulator,2026-07-31,medium,probable,"SCOPE ROW. Workbook's USD 10,000 threshold deliberately omitted - a regulator-set figure the bot must not assert."
kb-047,airport,customs,What is the duty-free allowance when entering St. Kitts?,"Duty-free allowances for alcohol, tobacco, perfume and personal gifts are set by the Customs and Excise Department. Specific quantities and values change - confirm current allowances with Customs before travelling.",duty free allowance|allowance|how much can i bring|alcohol limit|tobacco,traveller,internal:scaspaexcel.xlsx#row-95,regulator,2026-07-31,medium,unverified,SCOPE + WITHHOLDING. Workbook gives specific litres and an EC$100 gift value; deliberately withheld as regulator-set and unverified.
kb-048,airport,customs,"Can I bring meat, fruit or vegetables into St. Kitts?","Meat products, fresh fruit and vegetables generally require a permit or phytosanitary certificate from the Ministry of Agriculture. Contact the Ministry before travelling with agricultural goods.",meat|fruit|vegetables|food|agriculture|plants|permit|phytosanitary,traveller,internal:scaspaexcel.xlsx#row-96,regulator,2026-07-31,low,probable,"SCOPE ROW - Ministry of Agriculture, not SCASPA."
kb-049,airport,customs,Is camouflage clothing allowed in St. Kitts?,Camouflage clothing and gear are restricted for civilian use in St. Kitts and Nevis and may be confiscated on entry. Leave camouflage items at home.,camouflage|camo|military clothing|army print|banned clothing,traveller,internal:scaspaexcel.xlsx#row-98,regulator,2026-07-31,low,probable,"A genuine and unusual regional restriction, consistent across several Caribbean states. High value for visitors."
kb-050,airport,customs,Can I bring a pet into St. Kitts?,Animals require an import permit from the veterinary authority and are inspected on arrival. Only service animals and pets in approved carriers with veterinary clearance are permitted in the terminal. Apply well in advance.,pet|dog|cat|animal|import permit|service animal|travel with pet,traveller,internal:scaspaexcel.xlsx#row-117,regulator,2026-07-31,medium,probable,"SCOPE ROW - veterinary/agriculture authority, not SCASPA."
kb-051,airport,customs,"Can I take coral, shells or sand out of St. Kitts?","Removing live coral, protected shells or quantities of sand is restricted under environmental protection law. Do not pack these items.",coral|shells|sand|souvenir|take home|environmental|protected,traveller,internal:scaspaexcel.xlsx#row-107,regulator,2026-07-31,low,probable,Consistent with regional environmental law.
kb-052,airport,drones,Can I bring or fly a drone in St. Kitts?,Drones must be declared to Customs on arrival and require approval from the Civil Aviation Division and the police before being flown. Flying a drone near the airport or its approach paths is prohibited.,drone|uav|quadcopter|fly drone|aerial|remote control,traveller,internal:scaspaexcel.xlsx#row-103,regulator,2026-07-31,medium,probable,Workbook's specific 5 km radius omitted as unverified; the prohibition itself is stated generally.
kb-053,airport,facilities,What facilities are available at the airport?,"The terminal has baggage screening and passenger security technology, baggage handling, flight information display monitors throughout the building, and six departure gates. Facilities are also provided for cargo aircraft and private jets.",facilities|amenities|what is there|terminal|gates|services|lounge,traveller,https://www.scaspa.com/airport-about.html,official-site,2026-07-31,medium,confirmed,Retail and food concessions are not listed on SCASPA's current pages; do not enumerate specific shops.
kb-054,airport,facilities,Is there Wi-Fi at the airport?,"Client-supplied guidance states complimentary public Wi-Fi is available in the passenger terminal and departure lounge. SCASPA does not publish this, so availability and any charge should be confirmed on arrival.",wifi|wi-fi|internet|wireless|connectivity|online|network,traveller,internal:scaspaexcel.xlsx#row-37,client-interview,2026-07-31,medium,unverified,"Workbook-supplied. Frequently asked and frequently wrong; do not promise free Wi-Fi as fact. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-055,airport,facilities,Are there ATMs at the airport?,"Client-supplied guidance indicates ATMs are located in the public departure area and the post-security lounge, dispensing Eastern Caribbean Dollars and accepting major international cards. Availability should be confirmed on arrival.",atm|cash machine|cash|withdraw|bank machine|money,traveller,internal:scaspaexcel.xlsx#row-57,client-interview,2026-07-31,medium,unverified,"Workbook-supplied; not published by SCASPA. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-056,airport,facilities,Is there a currency exchange at the airport?,"Client-supplied guidance describes a cambio in the departure terminal offering currency exchange, credit card cash advances and travellers' cheque services. Opening hours quoted in that source are not verified - confirm locally.",cambio|currency exchange|bureau de change|exchange money|forex,traveller,internal:scaspaexcel.xlsx#row-60,client-interview,2026-07-31,medium,unverified,"Workbook quotes daily 5:00 am - 9:00 pm; that specific window is unverified and deliberately omitted from the answer. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-057,airport,facilities,Is there a post office at the airport?,Client-supplied guidance describes a post office branch in the public departures area offering stamps and mailing services. The specific opening hours in that source are unverified - confirm locally before relying on them.,post office|mail|stamps|postal|send mail|postcard,traveller,internal:scaspaexcel.xlsx#row-62,client-interview,2026-07-31,medium,unverified,"Workbook gives oddly precise hours (Mon 8:00-3:00, Tue-Fri 8:00-3:15). Precision without a source is a hallucination signal - omitted. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-058,airport,facilities,Are there shops and duty-free at the airport?,"Client-supplied guidance describes duty-free shops in the post-security departure lounge selling liquor, perfume, jewellery and local crafts, primarily configured for departing passengers. Tenant mix changes, so confirm on the day.",duty free|shops|shopping|retail|souvenirs|liquor|perfume,traveller,internal:scaspaexcel.xlsx#row-67,client-interview,2026-07-31,medium,unverified,"Workbook-supplied; retail tenancy is not a SCASPA-published matter. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-059,airport,facilities,Are there restaurants or food outlets at the airport?,"Client-supplied guidance describes food outlets and snack bars both landside and in the airside departure lounge, offering drinks, pastries, sandwiches and local dishes. Confirm current outlets and hours on the day.",food|restaurant|eat|snack|cafe|bar|drinks|dining,traveller,internal:scaspaexcel.xlsx#row-69,client-interview,2026-07-31,medium,unverified,"Workbook-supplied. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-060,airport,facilities,Are charging points available in the departure lounge?,Client-supplied guidance indicates power outlets and charging stations are available around the gate seating areas. Not published by SCASPA.,charging|power|outlet|plug|charge phone|socket|usb,traveller,internal:scaspaexcel.xlsx#row-73,client-interview,2026-07-31,low,unverified,"Workbook-supplied. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-061,airport,facilities,Are baby changing facilities available at the airport?,Client-supplied guidance indicates baby changing stations are located in selected restrooms in the main departure lounge. Not published by SCASPA.,baby|nursing|changing|infant|family|child|nappy|diaper,traveller,internal:scaspaexcel.xlsx#row-51,client-interview,2026-07-31,low,unverified,"Workbook-supplied. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-062,airport,facilities,Is there a medical facility at the airport?,"Client-supplied guidance describes an ambulance centre in the public departures area. The operating hours in that source are unverified. In a medical emergency at any SCASPA facility, call 911.",medical|doctor|ambulance|first aid|clinic|sick|health|emergency,traveller,internal:scaspaexcel.xlsx#row-50,client-interview,2026-07-31,medium,unverified,"SAFETY-ADJACENT. Workbook's 6am-10pm window omitted as unverified; 911 added as the reliable action. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-063,airport,facilities,Is luggage storage available at the airport?,Client-supplied guidance states that left-luggage and locker facilities are not available at the airport for aviation security reasons. Confirm with SCASPA if you need to store items.,luggage storage|locker|left luggage|store bags|hold luggage|bag storage,traveller,internal:scaspaexcel.xlsx#row-36,client-interview,2026-07-31,low,probable,"A negative answer, so lower risk - most small international airports do not offer this. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
kb-064,airport,facilities,Does the airport have a VIP or executive lounge?,"Client-supplied guidance describes VIP and executive lounge facilities for premium and private aviation travellers, bookable through an airline premium desk or private aviation agent. Not published by SCASPA - confirm directly.",vip|lounge|executive|premium|business lounge|airport lounge,traveller,internal:scaspaexcel.xlsx#row-64,client-interview,2026-07-31,medium,unverified,"Workbook-supplied. | REMAP: source 'client-supplied'->'client-interview': client asserted, unverified - trust tier UNCHANGED"
